"ERR3928931" "ERR3928933" "ERR3928934" "ERR3928935" "ERR3928936" "ERR3928937" "ERR3928938" "ERR3928939" "ERR3928940" "ERR3928941" "ERR3928942" "ERR3928943" "ERR3928944" "ERR3928945" "ERR3928946" "ERR3928947" "ERR3928948" "ERR3928949" "ERR3928950" "ERR3928951" "ERR3928952" "ERR3928953" "ERR3928954" "ERR3928955" "ERR3928956" "ERR3928957" "ERR3928958" "ERR3928959" "ERR3928960" "ERR3928961" "ERR3928962" "ERR3928963" "ERR3928964" "ERR3928965" "ERR3928966" "ERR3928967" "ERR3928968" "ERR3928969" "ERR3928970" "ERR3928971" "ERR3928972" "ERR3928973" "ERR3928974" "ERR3928975" "ERR3928976" "ERR3928977" "ERR3928978" "ERR3928979" "ERR3928980" "ERR3928981" "ERR3928982" "ERR3929033" "ERR3929034" "ERR3929035" "ERR3929036" "ERR3929037" "ERR3929038" "ERR3929039" "ERR3929040" "ERR3929041" "ERR3929042" "ERR3929043" "ERR3929044" "ERR3929045" "ERR3929046" "ERR3929047" "ERR3929048" "ERR3929049" "ERR3929050" "ERR3929051" "ERR3929052" "ERR3929053" "ERR3929054" "ERR3929055" "ERR3929056" "ERR3929057" "ERR3929058" "ERR3929059" "ERR3929060" "ERR3929061" "ERR3929062" "ERR3929063" "ERR3929064" "ERR3929065" "ERR3929066" "ERR3929067" "ERR3929068" "ERR3929069" "ERR3929070" "ERR3929071" "ERR3929072" "ERR3929073" "ERR3929074" "ERR3929075" "ERR3929076" "ERR3929077" "ERR3929078" "ERR3929079" "ERR3929080" "ERR3929081" "ERR3929082" "ERR3929083" "ERR3929084" "ERR3929085" "ERR3928932"
"Mailhella" 211 0 0 0 0 0 0 0 69 154 582 0 0 0 0 0 169 276 0 19 0 0 0 3 0 0 0 0 0 0 0 0 0 258 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 25 20 175
"Bilophila" 583 327 225 96 62 722 312 223 131 124 22 72 17 9 190 64 70 41 314 38 28 59 180 32 351 11 13 6 69 75 226 119 568 157 108 118 289 35 200 81 45 17 64 203 353 24 77 85 12 11 13 43 68 32 93 8 13 17 56 129 66 336 356 63 3 55 24 25 8 0 11 0 50 27 33 9 49 775 17 296 82 469 566 553 1021 1161 144 92 233 42 203 10 15 19 140 96 12 0 93 116 384 224 42 34 683
"Alkanindiges" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 5 9 9 0 0 0 5 8 12 0 6 5 11 0 0 0 0 0 5 0 0 0 9 10 5 0 17 0 5 7 7 0 0 13 0 0 72 5 0 0 0 0 0 0 8 5 11 0 9 7 5 0 0 0 0 0 10 8 14 5 5 0 0 0 44 10 0 0 8 0 7 0 0 0 7 0 0 0 0 9 0 10 0 0 0 0 0 7 7 0 8 0 0 5 24 0 12 10 0 5 0 0 7
"Enhydrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 3 0 0 0 0 24 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rosenbergiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 182 287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 16 0 0 0 0 0
"Hafnia-Obesumbacterium" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 61 0 0 66 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 12 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Proteus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Morganella" 31 0 0 149 103 0 0 14 14 0 18 21 0 0 13 0 0 14 9 0 0 11 0 0 11 0 0 0 0 0 0 0 9 0 15 11 8 0 0 0 0 9 0 12 9 0 0 7 0 0 0 11 0 0 22 8 0 10 0 0 9 9 8 0 6 0 0 9 8 7 14 0 6 7 16 10 0 0 9 15 7 261 12 0 11 11 13 0 0 8 12 0 0 0 0 0 0 0 0 17 0 16 0 11 28
"Escherichia-Shigella" 1405 23692 19553 27800 18623 702 525 720 432 559 883 1833 648 397 1066 657 612 552 498 239 543 507 559 2317 1167 3328 574 368 474 308 2810 768 519 26590 42183 37067 707 296 3442 287 351 450 312 548 763 825 438 407 3622 4328 473 422 660 287 1698 605 28664 31229 403 733 631 1423 1734 1826 236 631 331 537 503 422 844 522 567 748 939 371 636 2268 482 6717 10130 5761 21179 18172 2369 1996 3873 1745 5889 8222 1146 514 7617 1288 2784 1553 18170 305 5980 10658 1542 1172 1526 1173 855
"Raoultella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Klebsiella" 97 85 82 112 106 136 85 124 54 48 90 76 69 60 126 101 48 69 63 38 88 67 74 61 70 2823 75 48 61 39 49 50 55 175 908 865 81 33 87 39 43 50 43 53 76 145 55 40 1713 2346 53 65 72 71 98 148 2611 3099 690 1967 62 206 279 125 40 272 63 211 69 49 95 61 76 75 127 385 1438 652 170 73 231 397 99 107 923 999 2261 1359 3641 21243 353 60 66 2784 294 193 7675 371 5521 10579 1086 724 148 125 98
