"ERR9830889" "ERR9830890" "ERR9830891" "ERR9830892" "ERR9830893" "ERR9830894" "ERR9830895" "ERR9830896" "ERR9830897" "ERR9830898" "ERR9830899" "ERR9830900" "ERR9830901" "ERR9830902" "ERR9830903" "ERR9830904" "ERR9830905" "ERR9830906" "ERR9830907" "ERR9830908" "ERR9830909" "ERR9830910" "ERR9830911" "ERR9830912" "ERR9830913" "ERR9830914" "ERR9830915" "ERR9830916" "ERR9830917" "ERR9830918" "ERR9830919" "ERR9830920" "ERR9830921" "ERR9830922" "ERR9830923" "ERR9830924" "ERR9830925" "ERR9830926" "ERR9830927" "ERR9830928" "ERR9830929" "ERR9830930" "ERR9830931" "ERR9830932" "ERR9830933" "ERR9830934" "ERR9830935" "ERR9830936" "ERR9830937" "ERR9830938" "ERR9830939" "ERR9830940" "ERR9830941" "ERR9830942" "ERR9830943" "ERR9830944" "ERR9830945" "ERR9830946" "ERR9830947" "ERR9830948" "ERR9830949" "ERR9830950" "ERR9830951" "ERR9830952" "ERR9830953" "ERR9830954" "ERR9830955" "ERR9830956" "ERR9830957" "ERR9830958" "ERR9830959" "ERR9830960" "ERR9830961" "ERR9830962" "ERR9830963" "ERR9830964" "ERR9830965" "ERR9830966" "ERR9830967" "ERR9830968" "ERR9830969" "ERR9830970" "ERR9830971" "ERR9830972" "ERR9830973" "ERR9830974" "ERR9830975" "ERR9830976" "ERR9830977"
"Sutterella" 0 36 425 312 494 110 1686 623 1286 43 229 0 611 96 327 253 629 58 219 482 2013 831 39 352 146 625 544 338 443 440 193 873 686 35 667 693 10 78 52 164 391 36 299 564 409 1128 601 94 751 461 131 127 0 701 0 851 728 150 398 473 624 11 0 352 287 204 52 158 303 27 593 479 138 812 148 383 0 527 54 1042 0 537 39 50 489 208 1250 411 336
"Turicimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parasutterella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0 0 0 9 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MND1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0
"Methylophilus" 9 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 3 0 4 0 0 3 2 5 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 19 5 0 0 13 2 0 0 0 0 0 0 0 5 0 0 0 0 3 0 0 0 0 11 0 0 0 0 0 3 0 0 4 0 2 0 25 0 0 0
"Vogesella" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Neisseria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eikenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 6 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 0
"Ralstonia" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
