feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gordonibacter	sample_type	healthy volunteer	-0.289267722740238	0.260307048429087	89	18	0.26951988172444	0.434057496146176
X.Ruminococcus._gauvreauii_group	sample_type	healthy volunteer	0.67784243607072	0.611051751580999	89	73	0.270355811885333	0.434057496146176
Romboutsia	sample_type	healthy volunteer	0.636600479051603	0.58545867643067	89	84	0.279883961937947	0.445269939446734
Haemophilus	sample_type	healthy volunteer	0.517003057386326	0.503182620165507	89	67	0.307049275046484	0.461443303693007
Corynebacterium	sample_type	healthy volunteer	-0.443139500040348	0.432603755792164	89	36	0.308507808754753	0.461443303693007
Angelakisella	sample_type	healthy volunteer	-0.241820093323366	0.234002004224172	89	16	0.30427603700362	0.461443303693007
X.Eubacterium._eligens_group	sample_type	healthy volunteer	-0.520831470792499	0.507655686063859	89	79	0.307757326873958	0.461443303693007
Anaerobutyricum	sample_type	healthy volunteer	-0.338075460398144	0.329653254188557	89	85	0.307947417615974	0.461443303693007
Hoylesella	sample_type	healthy volunteer	-0.288097204546575	0.275233152467005	89	10	0.298119518829789	0.461443303693007
Faecalimonas	sample_type	healthy volunteer	-0.462734704434938	0.443640838795111	89	60	0.299819911766185	0.461443303693007
Lachnospiraceae_UCG.004	sample_type	healthy volunteer	-0.324024826025591	0.321741269907583	89	85	0.316680767026716	0.469653679912502
X.Clostridium._innocuum_group	sample_type	healthy volunteer	-0.291469787585135	0.296407942550307	89	13	0.328166902107229	0.478576732239709
Acutalibacter	sample_type	healthy volunteer	-0.559380618164031	0.568462436898563	89	66	0.327832464609875	0.478576732239709
Succinivibrio	sample_type	healthy volunteer	-0.8824667868904	0.903287909474323	89	63	0.331302839715019	0.479156999587837
Lachnospiraceae_NK3A20_group	sample_type	healthy volunteer	-0.245022248799119	0.253134113138524	89	9	0.33575040439818	0.481609186636734
UCG.008	sample_type	healthy volunteer	-0.503163892043135	0.531993395000144	89	46	0.346865743814184	0.493334168255476
Enterocloster	sample_type	healthy volunteer	-0.35014495987301	0.372294504160547	89	84	0.34956249636388	0.493334168255476
Paracoccus	sample_type	healthy volunteer	0.329994320791363	0.357470910174303	89	17	0.358489420246706	0.501885188345388
Scardovia	sample_type	healthy volunteer	-0.143936579063216	0.158373767870185	89	9	0.365944872211927	0.50825676696101
Turicibacter	sample_type	healthy volunteer	-0.658456060228691	0.739200765705122	89	54	0.375510679052884	0.517435975072872
Denitrobacterium	sample_type	healthy volunteer	0.238214961892992	0.282400994485248	89	10	0.401242963191738	0.548574363738704
Pseudomonas	sample_type	healthy volunteer	0.253231201464064	0.326411231352361	89	27	0.439968461093158	0.59267310915468
Catenibacterium	sample_type	healthy volunteer	0.734079189036405	0.946846486496887	89	63	0.440271452514905	0.59267310915468
Methylophilus	sample_type	healthy volunteer	0.19110864487069	0.248769358281563	89	21	0.444438991597984	0.593716210149979
Paraprevotella	sample_type	healthy volunteer	0.49610421700865	0.670755885532835	89	48	0.461521912792731	0.611866172263091
Family_XIII_UCG.001	sample_type	healthy volunteer	-0.311561597054869	0.425466760642405	89	42	0.465964741063716	0.613111501399626
Slackia	sample_type	healthy volunteer	0.365986619287479	0.509916364096043	89	64	0.474841388173323	0.620128678584563
Anaerostipes	sample_type	healthy volunteer	-0.352627079033515	0.5108297438338	89	81	0.491841413889444	0.637572203190019
Sphingomonas	sample_type	healthy volunteer	0.171484048585471	0.254460644784518	89	11	0.502153953976818	0.646153984896641
Coprococcus	sample_type	healthy volunteer	-0.294118959849627	0.449537734359223	89	84	0.514663860757292	0.657417340383402
Lachnoanaerobaculum	sample_type	healthy volunteer	-0.142332464550761	0.221685092966804	89	11	0.522530227797364	0.662628912061875
Senegalimassilia	sample_type	healthy volunteer	0.403081749239053	0.654590252573668	89	75	0.539649243627312	0.67452447793601
Adlercreutzia	sample_type	healthy volunteer	0.28938739392767	0.474431700870353	89	53	0.543474007937014	0.67452447793601
CAG.56	sample_type	healthy volunteer	-0.364873163822956	0.593526351004008	89	40	0.540321215739832	0.67452447793601
Rikenellaceae_RC9_gut_group	sample_type	healthy volunteer	-0.385702731857727	0.674683990595016	89	32	0.569013484013427	0.701249011988379
Prevotellaceae_NK3B31_group	sample_type	healthy volunteer	-0.205621414917974	0.383663745518378	89	18	0.593366411269806	0.726147706099413
Lachnospiraceae_ND3007_group	sample_type	healthy volunteer	0.185125835414905	0.351081698691532	89	83	0.599326487187719	0.728348161512853
Anaeroplasma	sample_type	healthy volunteer	0.20870198759093	0.404835943095588	89	11	0.607495591828297	0.733184334965186
Monoglobus	sample_type	healthy volunteer	-0.275847890740372	0.55679750104354	89	63	0.621553659097223	0.739944832258599
Elusimicrobium	sample_type	healthy volunteer	0.141815274384265	0.285278931688728	89	10	0.620364786255843	0.739944832258599
Bifidobacterium	sample_type	healthy volunteer	0.172075176205134	0.364470945772174	89	89	0.638020950270299	0.749353465082566
Agathobaculum	sample_type	healthy volunteer	0.211106809776409	0.441907025542239	89	82	0.634049219696652	0.749353465082566
Ligilactobacillus	sample_type	healthy volunteer	0.293978548279534	0.648062127681305	89	81	0.65122675773193	0.7589839261727
Lancefieldella	sample_type	healthy volunteer	-0.112069848459401	0.249867158919401	89	17	0.654894702011872	0.7589839261727
Acidaminococcus	sample_type	healthy volunteer	0.178168646643335	0.453001544297812	89	25	0.695054968710764	0.80022776002884
Lactococcus	sample_type	healthy volunteer	0.177400476039485	0.46974176629792	89	22	0.706606437594159	0.802961860902453
