feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665055	0.2264	0.08183	0	0	14.08765	0.73908	0.04643	18.12258	0	0	7.87845	0	0	14.10153	3.36474	0.03732	0.48975	13.31135	0.01605	0.01934	0.05412	0.00668	3.32672	0.44845	11.41487	0	0.18557	0.00333	3.20802	0	0.21653	0	0.11311	0.30392	0.03635	0.08365	0	0.73081	0.09478	0.10041	5.93013	0.16457	0.29366	0
SRR5665054	0.44905	0.21747	0.14568	14.29754	0.23965	9.92654	0.2627	4.56216	0.55371	15.9144	2.09815	0	0	11.44463	3.60702	0.06907	11.82727	0.1436	0.08156	0	0	1.17467	2.62796	2.34165	0.42544	0	2.498	0.81437	0.85653	0	0	0.00814	0	0	1.30526	0.68668	0	8.45628	0	0.08907	1.40323	0.54094	0.09895	0.01603
SRR5665053	0	0	0	20.18115	0	15.7144	0	0.11856	0	0	16.70185	0	0	0	1.73795	0	3.35986	0	0	0	0	0	14.98491	0.58301	0	0	4.7846	0.28141	0	0	0	0	8.84357	0	0.15878	0.01884	0	2.97744	0	1.41538	4.31352	0.26408	0	0
SRR5665052	0	0.05612	0	0.25944	0.24558	7.20829	0.03454	2.11754	0	11.90523	20.91841	0	0.37127	10.22042	3.40746	0	1.05581	0	0.09975	0.00999	0	0	4.34484	18.74482	0.1016	0.15111	4.99109	0	0.11489	0	0.00503	0	0	0	0.46386	0.02184	0.70605	9.27773	0	0.03757	0	1.13645	0	0
SRR5665051	0	0.08883	0.37851	0	0.55689	3.27694	0.15576	1.19696	0	3.08166	12.35665	0	0.84317	46.33679	0.78425	0	4.74683	0.60547	0	0.04833	0.19205	0	0.84978	0.5971	8.43977	0.02248	3.03702	0.06537	0.09444	0.01739	0	1.20851	2.19635	0.67608	0	0.16787	0.07317	0.82181	0	0.01951	0.538	0.504	0.03994	0.01131
SRR5665050	0	0	0.29391	0	4.23044	2.42985	0	12.24844	0	0.65687	31.69567	0	0.00362	0	1.26004	0	11.20624	1.29883	0.01559	0	2.5901	4.28376	6.5273	0.01046	0.55033	0.42562	0	0	0.14714	0.26603	0.03015	0	0	0	0	0.70755	0.00908	0	0	0	14.97082	3.10478	0.44367	0
SRR5665049	0.01905	0	0.08665	0	0	46.39178	0	0.86582	0	0	12.99481	0	0	0	7.27854	0	9.23208	2.37913	0.11432	0	2.73602	0	0.15672	0.37936	0	0.07395	8.4807	0	0.30039	0	0	3.80698	0	0	0	0	0	0.61321	0.07539	0	0	0.6683	2.77083	0
SRR5665048	0	0.55662	0	4.90382	0	8.16339	1.79981	0.01059	0	14.22113	13.42152	0	0	0	10.69912	0	9.78097	2.12017	0	0	0.05833	0	11.42928	2.03857	0	0	11.69637	0.43358	0.23515	0.37258	0	0.00953	0	1.21748	0	0	0	0.87612	0	0	1.13489	0.17181	0.2924	0.34782
SRR5665047	0	0	0.30039	0	0.08978	8.82228	0	0.42241	0	47.83964	4.09476	0	0	13.49663	1.32849	0	3.29996	0.70327	0	0.04029	0.01084	0	4.73054	0.95348	0	0.00175	0.11378	0	0.841	0	0	0	0	0.26298	0	0	0	3.85932	0.00594	0.86179	3.16905	0.52167	3.32383	0.10926
SRR5665046	0	0	0.03318	5.0903	0	1.14254	0	0	0	0	0.92992	0	0.36848	0	1.05528	0	2.73346	1.26121	0.02871	0	0	0	3.64853	39.46681	0	0.00647	6.91603	0.22756	2.35916	0.29881	0	8.39463	0	0	0	0.03045	0	3.70151	0	0.19246	5.83944	0.62947	5.76382	0.12381
SRR5665045	0.02524	0.46962	0.66085	0	0	3.74171	0.10677	0	0	4.29299	16.64605	0	0	23.04599	4.87164	0	5.94685	1.28861	0	0	0	0	6.55039	0.11017	0.14781	0	27.70287	0.07392	0.38169	0	0	2.57295	0	0.2062	0	0	0	0.03683	0	0	0.23371	0	0.19877	0
